Phone ID,Phone Brand,Place,Date,Time,Network Provider,Download Speed,Upload Speed,Latency,RSSI,RSRP,RSRQ
,samsung,Airport,2024-11-14,16:21:20.395000,DITO,4.426417760800001,4.037141704,54,-89,-12,-100
,samsung,Garden,2024-11-14,16:23:06.871000,DITO,4.871135203200001,0.37600122960000004,56,-85,-12,-98
,samsung,Library,2024-11-14,16:25:32.838000,DITO,6.6727759847999994,5.4366292896,69,-73,-13,-87
,samsung,ABD,2024-11-14,16:27:41.437000,DITO,9.238014018400001,0.3807091432,48,-79,-13,-91
,samsung,Canteen,2024-11-14,16:28:38.174000,DITO,23.723813095199997,11.2866817152,53,-79,-13,-92
,samsung,Airport,2024-11-15,10:46:34.513000,DITO,1.3356512632,0.583535364,68,-87,-13,-100
,samsung,Garden,2024-11-15,10:48:31.885000,DITO,4.310775248,0.5851873648,96,-89,-13,-102
,samsung,Library,2024-11-15,10:51:03.801000,DITO,20.8269695472,5.704099821600001,76,-79,-13,-91
,samsung,Kiosk,2024-11-15,10:52:47.565000,DITO,6.2168378224,11.6194626,50,-79,-13,-91
,samsung,ABD,2024-11-15,10:54:06.762000,DITO,14.563727612,6.5719214656,56,-79,-13,-91
,samsung,Canteen,2024-11-15,10:55:09.055000,DITO,10.026773176,2.3944209992,72,-89,-10,-100
,samsung,Airport,2024-11-15,13:32:28.464000,DITO,2.3391009192,9.1345055952,68,-85,-11,-115
,samsung,Garden,2024-11-15,13:34:53.971000,DITO,10.1800556784,0.7413686176,73,-85,-13,-99
,samsung,Library,2024-11-15,13:42:00.226000,DITO,5.0033549776,1.3536379016,55,-63,-13,-97
,samsung,Library,2024-11-15,13:42:21.626000,DITO,5.1289844496,0.39137055839999996,78,-113,0,2147483647
,samsung,Kiosk,2024-11-15,13:44:08.603000,DITO,5.792420455199999,4.6775419519999994,68,-63,-13,-97
,samsung,Kiosk,2024-11-15,13:44:25.147000,DITO,3.8283480384,12.3704963664,70,-71,-13,-83
,samsung,ABD,2024-11-15,13:45:44.649000,DITO,12.210840024800001,11.813349084799999,65,-63,-13,-97
,samsung,ABD,2024-11-15,13:45:57.673000,DITO,7.8916607416,10.6980476064,70,-79,-13,-92
,samsung,Canteen,2024-11-15,13:47:30.585000,DITO,9.768822866399999,5.278089332,69,-69,-14,-104
,samsung,Canteen,2024-11-15,13:47:49.775000,DITO,4.2512731256,6.6672222688,82,-79,-14,-93
c8b3bf788ae663de,samsung,Garden,2024-11-19,11:10:21.308000,DITO,4.3565057928,13.2406833112,70,-65,-16,-100
c8b3bf788ae663de,samsung,Airport,2024-11-19,11:11:55.195000,DITO,0.9615225183999999,16.8779899496,67,-67,-12,-100
c8b3bf788ae663de,samsung,Library,2024-11-19,11:14:03.227000,DITO,8.3526215024,15.5256702616,68,-59,-14,-97
c8b3bf788ae663de,samsung,Kiosk,2024-11-19,11:17:22.822000,DITO,4.3114033119999995,11.6622222224,68,-57,-14,-88
c8b3bf788ae663de,samsung,Canteen,2024-11-19,11:18:47.146000,DITO,1.6994317816000002,12.2283495144,64,-67,-15,-103
c8b3bf788ae663de,samsung,ABD,2024-11-20,08:51:52.241000,DITO,8.3050319664,16.2257004832,37,-59,-14,-91
c8b3bf788ae663de,samsung,ABD,2024-11-20,08:52:03.660000,DITO,17.3906369408,26.3773821992,50,-59,-14,-91
c8b3bf788ae663de,samsung,ABD,2024-11-20,08:52:13.448000,DITO,13.756778149599999,22.3914666664,50,-59,-14,-91
c8b3bf788ae663de,samsung,ABD,2024-11-20,08:52:21.388000,DITO,25.3686971168,18.9758192088,50,-59,-14,-91
c8b3bf788ae663de,samsung,ABD,2024-11-20,08:52:37.189000,DITO,3.1614822888000003,18.287041742400003,46,-59,-14,-91
c8b3bf788ae663de,samsung,ABD,2024-11-20,08:52:52.759000,DITO,3.4927490008,21.8098701296,40,-59,-14,-91
